text	user_id	news_id	cluster
Trump will say a distant  ralative  of Barack	856432831152529408	politifact14090	1
I believe it but daddy will get it gone and say its a lie money from Obama	1699463258	politifact14090	5
We don't have fake news or do we !!	762628262048763904	politifact14090	0
I'm not surprised Muslims hate their daughters and wish they gave birth to boys	3322773498	politifact14090	3
Really?	817147068833824768	politifact14090	10
"I'm sure she'll be given a pass for ""lively spirits"" of a teenager..."	1374607968	politifact14090	6
I'm not finding any corroboration that substantiates this story.	314016613	politifact14090	5
Retardation must be strong with you people if you believe this shit	3594239056	politifact14090	10
I was pretty clear that I'd found nothing to substantiate the story, so limit the name calling to the playground.	314016613	politifact14090	8
I LOVE these bs stories. I just KNOW goppers reading them are frothing at the mouth. 	1417146067	politifact14090	6
hate & jealousy in this WH is getting ugly(ier)	758290360577720320	politifact14090	8
I'm sure some moron will believe this.	1851902408	politifact14090	6
"Ha, ha!!! 
How Ridiculous."	1482440491	politifact14090	0
Check your sources	3284033108	politifact14090	4
this is the definition of fake news	831394617450954752	politifact14090	10
And the Obama's legacy takes another hit, and this time by his own daughter lol go figure	847965032843538432	politifact14090	9
This may be fake news. Don't see it anywhere else.	232176051	politifact14090	0
...anytime Trumpeteers don't agree with the news they call it fake. WHAT IS real news?	1445498449	politifact14090	9
I see Maila is living up to her true potential. She had such wonderful parenting from Michael and Barry. Ha!	3934213452	politifact14090	3
Stop sharing.....	169609318	politifact14090	9
Bullshit, anyone can create a meme	63477009	politifact14090	1
Just like her dad, into drugs & a thug.	326461699	politifact14090	8
Parents must be so proud...oh wait, they are probably planning the honor killing already...	2391663248	politifact14090	3
I hope this isn't true!	778086440194478080	politifact14090	4
I mean... letting dogs fight too!	778086440194478080	politifact14090	5
I truly hope not.	778086440194478080	politifact14090	0
Do you realize that her photo is not even a mugshot? It doesn't take a genius to figure this is fake!	3594239056	politifact14090	6
Read the very bottom of the webpage( about us info). They seem legit	326461699	politifact14090	6
Oh my! The media sure isn't reporting on it. If it's true, they'll brush it under the rug! I do know, it took me 3x's to get it tweeted	778086440194478080	politifact14090	5
You'll never know the truth by watching MSM, or reading their propaganda news websites, lol	326461699	politifact14090	5
This got to  be fake news right	3765609039	politifact14090	4
I don't think this is true	1197450984	politifact14090	4
Another Obama , Community Organizer	1033002008	politifact14090	8
Hey David, that's a bullshit story.  A lie.	625195519	politifact14090	6
Bet it broke your deplorable little heart to realise it's not true? If you actually have yet.	4818744105	politifact14090	6
Trumpster wet dream. I'm sure the fact this never happened won't matter though.	2954899444	politifact14090	2
OTOH, GW Bush's twin daughters were arrested on alcohol related charges TWICE in 5 weeks when they were 19 years old.	18065224	politifact14090	8
"As long as these ""inventors"" of CRAP will NOT be punished, they will continue to poison people. How many dumb people are there in USA?"	2445397728	politifact14090	6
Yep, the same crap that voted for Trump.	730942395362082816	politifact14090	10
Who the fuck even makes this stuff up. Mind blowing.	568531950	politifact14090	9
Racists, mostly.	1526151600	politifact14090	9
I think this was photoshop. What proof do you have?	4909134973	politifact14090	0
