text	user_id	news_id	cluster
Can we add you to the love island chat now? Lol	2363899667	politifact10371	0
Russian hacker Konstantin Kozlovsky says spymasters told him to raid Clinton emails	700641660170928128	politifact10371	0
WHAT THE F	14808307	politifact13687	0
She already has and she will again.	63731518	politifact13469	0
#charitybeginsathome #panderingforvotes #abuseofpower	231222444	politifact10371	0
*Politician	307913758	politifact13469	0
You don't know that you people are mad in that your CU abi	808252019467309058	politifact10371	0
Address the facts	2316417078	politifact13469	0
Hindustan Jindabad	835574651749339136	politifact10371	0
This actually surprised me.	15964222	politifact10371	0
He is full of !!	1281373968	politifact10371	0
Vm l	2178206930	politifact13469	0
No. I'll check it out.	4786069640	politifact14114	0
Texas elects GOP politicians to counteract a tendency toward excessive pride	15417091	politifact7888	0
N	787950456	politifact10371	0
obvious tells were why only HE can bankrupt 2 casinos#ShittyPokerFace	1636642404	politifact751	0
Mission accomplished	946164631210520576	politifact14114	0
Texas Tribune	342397577	politifact10371	0
"""....which nobody can deny!?"" "	216346234	politifact10371	0
I hate this man with all of my being	15815984	politifact14036	0
What the 	205975044	politifact13687	0
Says Socialist Bernie Sanders	2351930886	politifact10371	0
like maybe how to spell his name?	43657699	politifact304	0
Just did.	636434377	politifact10371	0
#AsIf	1180397048	politifact13469	0
Ty i just called	1012137043185557504	politifact13469	0
We think they should just keep playing til someone scores	921055876739411968	politifact10371	0
NEIN	2447294079	politifact13469	0
Right and how many genders are their?	813188483263168512	politifact14506	0
Biracial	769501140715118592	politifact13469	0
Just a couple of thugs getting together to plan the midterm elections and removing those annoying sanctions.	897874019378233345	politifact10371	0
Bring it on	1008626438638055424	politifact10371	0
#BoycottNFL #BoycottNBA #FreeKekistan #TheREVOLUTION      #FrightPower #TRobinsonNewEra #ReasonsForTreason #RinoSeason      #SupportSmallStreamers	3371641000	politifact14745	0
I am appalled!!	3238784692	politifact15371	0
Oh Bernie	823943229724823553	politifact10371	0
*Have, not gave	710247621575639040	politifact7888	0
FFS.	326420260	politifact14036	0
they can be right about the technical effects of a carbon tax despite having a blinkered view of what should be done with the proceeds	214120461	politifact10371	0
Mission accomplished	946164631210520576	politifact14114	0
We called for activists to get on this!	890656879	politifact10371	0
K	2970896387	politifact10371	0
okay, we're gonna need a massive amount of xanax and margaritas	966383796131188739	politifact13469	0
An the word of God liveth forever more	743782456181006341	politifact10371	0
No evidence to prove it.	830411154375720960	politifact13687	0
#KAG	2277050444	politifact15501	0
This is me surprised...	3192631548	politifact15570	0
I like this guy.	1007919476	politifact10371	0
Nanti bts jadi mentri perokonomian korea lagi	1059388488	politifact10371	0
Make her bleed	17686264	politifact14750	0
"All I care about is #NoGlobalism #NoOpenBorders #Capitalism
#Maga
#ImmigrantsThatAssimilate"	407507285	politifact10371	0
Was he at the gym?	1441689996	politifact10371	0
#shocking	519524383	politifact14750	0
With God all is possible	1070962514287095808	politifact10371	0
Do I need to read The Big Book of Fairies to know there are no fairies?	3389942932	politifact14114	0
USA Vs UERO	2902360352	politifact14036	0
people who want to overdose let them go sometimes you can't fix them they like the numb	113796936	politifact15399	0
Says the one who wants vote for being a Muslim!	2717073009	politifact10371	0
Same here. I was wtf?	733091390	politifact13687	0
Havangatadzi 	350878578	politifact10371	0
#ComradeTrump #TraitorTrump #gopTraitors #howWereTheyRadicalized #showUsTheRubles	31035261	politifact13469	0
Mafia	856174583313027073	politifact10371	0
Only to him,  not the vast majority of Americans.	2882250232	politifact14036	0
I visions of Putin in the dougout with a hunting riffle	23365244	politifact10371	0
Controlled Opposition	19165963	politifact10371	0
New HoI 4 Mod?	2459074560	politifact14036	0
and you wonder why people run like hell from the church	992833938182823943	politifact10371	0
 #TRUMP2020	1003185114	politifact15501	0
He was the perfect fit.	183036564	politifact13687	0
We Need to be told if She ever Snoozes off at the Bench!	961367384626937856	politifact13469	0
smh	761732905747963907	politifact304	0
Such creep, much stare	494576214	politifact10371	0
Circus ring leader	477036830	politifact13469	0
Chiniot mein party ke elawa local factors ziada matter kartay hain :)	29974512	politifact10371	0
Did he actually say this?	1112687712	politifact13687	0
o	2706577704	politifact14114	0
#IllegitimatePence Used State Police To Suppress Voter Registration In Indiana	390925665	politifact13687	0
So much for decorum.	961446119543857153	politifact13469	0
they say it as the judge not woopi	388630090	politifact10371	0
Go getum.  Love ya!	702927649509761026	politifact13469	0
Actually this us so over the top I can't see him saying this, no.	61476214	politifact13687	0
#DonTheCon	3184541816	politifact14036	0
Would make contract negotiations with those same teachers interesting.	409824643	politifact7888	0
