user_id,comment_count
1000010469711712257,2
1000012065317285889,1
1000013060508192770,2
1000019405215096834,1
1000021858010398720,2
1000022803423391746,1
1000029679376633856,2
1000032458551672833,1
1000032768439586816,1
1000035116054401025,1
1000051468811100161,1
1000053004488335361,1
100005598,9
1000056794297729024,2
1000057504771006464,6
1000065435541426176,1
1000065790475829249,1
1000068446430916609,1
1000080364398772225,1
1000080683375710211,1
1000084453417504768,1
1000085658269036544,2
1000085767681642496,2
1000097299371094016,1
100010169,2
1000101983162896384,2
1000105783252733953,1
1000110517766180864,2
1000112771340652544,1
1000114053870694400,1
1000114728637812736,1
1000117279001063424,1
1000117573059399680,1
1000123573560926209,1
1000123592296796166,1
1000124726906425344,1
1000127207048728576,2
1000128817690705921,1
1000129151523635200,2
1000130892852023301,2
100013840,1
1000147791988035584,1
1000148543548674048,1
1000155476418531328,1
1000156333591543808,4
1000169231328137217,3
1000170077529001984,14
1000170382412976128,1
1000173945327423488,4
1000174476229783554,1
1000181701505699841,1
1000183757113044992,6
1000184994768175104,1
1000186496836603905,2
1000187384619646976,3
1000190574853541890,1
1000193148809867264,1
1000204221109620737,2
1000224532156723201,1
1000233528980750337,1
1000234700596707328,1
1000239203177803776,1
1000244814267461632,1
1000250213708324864,1
1000260751708344320,1
1000262144737337344,1
1000262491665059840,1
1000263127563493376,1
100028531,1
1000297851258224640,1
1000299901274632192,1
100031883,2
1000319207081324544,1
1000334096290082817,1
1000335470,1
1000349636920475650,1
1000350577468067841,1
1000353004493705217,1
1000356846748798976,2
1000364783093338112,1
1000375611112730624,1
1000378869340393472,1
1000380518301515780,2
1000381464159182849,1
1000382844546551809,1
1000384937437081600,1
1000386153026072576,1
1000390936822734848,1
1000394419550523397,1
1000397718878150656,2
1000401433999495168,1
1000401965099175936,3
1000408612454400000,1
1000409956254998528,3
1000412979651923968,1
1000413419676295174,1
1000416985405157382,1
1000419876480020480,1
1000421079356231680,1
1000426657474318337,1
1000426738806083584,1
1000428984809803776,1
1000444782907293696,3
1000445475097464837,1
1000449838989873152,2
1000453146181849088,3
1000457891088949250,1
1000468025072635904,2
1000471135392280577,1
1000471724314546177,3
1000471952702701571,1
100047257,2
1000475483757309952,1
1000481887012442112,1
1000484688459378690,1
1000486707601457152,5
1000490788470644740,2
1000498288339177472,1
1000515164024836096,1
1000518979784359936,1
1000520181381132289,1
1000529617948676097,1
1000530700607610881,1
1000534274402127872,1
1000534333420023808,1
1000540958,2
1000543383419469824,9
1000546442837155840,2
1000554753607090177,1
100055940,1
1000567136669052928,1
1000570434,2
1000573173228748800,1
1000585531,2
1000598600924172288,2
1000607182889496577,2
1000611406801088513,2
1000613220053237760,1
1000623403722821634,1
1000629340986597376,2
100065040,1
1000656971106832384,1
1000669738136031232,1
1000678649136201728,2
1000685429786587142,2
1000690056141520896,1
1000691497518489601,2
1000701144526712833,1
1000701365935632386,1
1000713436005888000,1
1000718486,1
1000741493949255681,1
1000744070178684928,1
1000746805,1
1000750098933043200,1
1000766999587241984,1
1000767354106675200,1
1000785009509326848,2
1000791715412828162,1
1000792068745252864,1
1000810128432562176,1
1000811240229351424,1
1000816455812767744,1
1000828116229640192,1
1000832630739357696,5
1000833399307866124,1
1000840414641967109,3
1000842472392658950,1
1000870623218929666,1
1000871210077511680,2
1000879353834754049,2
1000885281090916353,1
1000890050664640515,1
1000900074556145666,17
1000900216961290240,2
1000904812324622336,3
1000907641386872832,1
1000924080391032833,2
1000926337677185024,2
1000930507230720000,1
100093951,1
1000940087360794624,1
1000940695,1
1000941406708555779,1
1000943354392338432,1
1000944087896395776,2
1000948993,3
1000950271793680384,1
1000955190248386562,1
1000961582,4
1000968439874424832,1
1000969284,1
1000976371,1
1000980749154111488,2
1000989638939561984,2
1000995137965711360,1
1001010757079678976,1
1001021342785814528,5
1001024316195196930,1
1001030917362614272,1
1001040026367614976,2
1001043407966371840,1
1001051795827974144,1
1001054923994247168,1
1001075754598354945,1
1001080655873236993,2
1001090799742971904,1
1001092704225447936,2
1001094105332514817,3
1001098617703358469,2
100109890,7
1001109140591271936,2
1001112302165241857,1
1001115317916110849,1
1001116094663483392,1
1001125124744122369,1
1001125179542687745,1
1001130369478025217,1
1001132495029579777,1
1001145950038122502,2
1001147087801671681,1
1001148542520471553,1
1001162173463216128,1
1001163989185908738,1
1001168979610791936,1
1001168991736532992,1
1001180162413678592,1
1001184990665805825,5
1001189714743910406,3
1001191229093240841,1
1001198666487480320,1
1001201253215625221,1
100121166,1
1001232976523481088,1
1001236065577992193,1
1001245914730770432,1
1001254470800424960,1
1001254723150909440,2
1001258090715602944,1
1001265364204912640,1
1001266075168686080,1
1001276570143809536,2
1001277996785860608,1
1001279401802248193,1
1001279795894759424,1
1001282153999622145,1
1001284750806540293,1
1001297705082081281,2
1001298362925232129,1
1001323772534640642,1
1001340517823664128,1
