text	user_id	news_id	cluster
wtf? HRC is a white woman who is all for bringing more Muslims to America. Will she finally get hers?	1218866012	politifact14310	0
At the root of their rivalry is Islam's centuries-old schism between Sunni Muslims, who make up the majority in the oil-rich Saudi Kingdom, and Shiites who dominate Iran. Their enmity has exacerbated conflicts in the Middle East and U.S. efforts to bring peace to the region.	1002948543613624320	politifact13900	0
True, all that. &he began w the most wobbly of EU members which helpfully, was a cornerstone. Manipulate discontent using useful idiots, mission success. Meanwhile start a miniwar at a far boundary. Keep them guessing where you'll prod next. Perfect asymmetry. Brilliant tactics.	2524403078	politifact13900	0
Please support urgent #global paradigm shift from industrial #agriculture lifeless #soils #toxicchemicals unhealthy #food to diversified #agroecological systems #permaculture #agroforestry #regenerativeagriculture healthysoils #nutrientdensefood #localeconomies #climateresilience	584859744	politifact13900	0
THEY stopped covering the rallies watch them on right side broadcasting on YouTube they show.all the crowds FOX sucks some fair and balanced.	893518713286250496	politifact677	0
What about passport issue in Lucknow. Innocent Officer is punished because he is OC	124440522	politifact13900	0
Trying to look human.	438303534	politifact677	0
UK government economists forecast that Brexit will lose the UK from 2-8% of gdp, while a trade deal with the US would add only 0.2%.	194509846	politifact13900	0
Buongiorno, Maria. Wish you a wonderful Sunday. Hope you had spent a wonderful day with your family yesterday. I am glad, that it soon so far is und that the great show starts with you, Maria.	879692367393161216	politifact677	0
Akim er ist halt noch ein bisschen zu jung, ums richtig zu verstehen^^	3373040211	politifact13900	0
Jeez the cheap seats didn't even sell out. Looking at what's still avaliable looks like hardly any tickets have been sold.	582255615	politifact13900	0
"Obama kicked someone out the White House for being rude like Jim Acosta but Trump was wrong ?

Somebody Retweet or Tag a Democrat   and ask them where was the outrage when this happened"	341931971	politifact13900	0
Agree. Oscars not until Feb. Folks would have moved on if he nipped this in the bud in a professional manner.	359178132	politifact13900	0
"What do you hope the country learns from the life #Bush41 lived?

""His big line as president was, ""A kinder, gentler nation."" And I do think that is what it boils down to. That's what he wanted for this country... and the world is a kinder and gentler world."" -- Lauren Bush"	17134268	politifact15562	0
