text	user_id	news_id	cluster
This is VERY #aidetweet like. Very much so... Hi Dan! Score:-35 Code:mLTC3 Time:0916	897917110831140864	politifact7669	0
#Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach #Impeach	18922893	politifact7669	0
After name calling people, he does the same thing with states???	295169856	politifact7669	0
One ring to rule them all, one ring to find them, One ring to bring them alland in the darkness bind them	725845441229774849	politifact7669	0
Ill be scrapping the bottom of the trash can I think.. No, wait, that's you and I wouldn't let you stick to the bottom of my shoe. #OrangeSlime	2678506184	politifact7669	0
"LMAO at ""write."""	189532580	politifact7669	0
Or available in the fiction aisle of your local Barnes and Noble	903078139	politifact7669	0
Make that 4 incidents, including East L.A. now	2413852004	politifact13130	0
#MAGABomber #GOPTerrorists #GOPTraitors #GOPSuperPACsRussia #CorruptGOP #VoteBlueToSaveAmerica #VoteBlue #VoteDem #VoteDemocrat #GOPutin #GOPDomesticTerriorism #DomesticTerrorism #VoteOutCorruptGOP #FlipItBlue #PutinsPuppet #TrumpTerrorism	855173919770378241	politifact7669	0
"He forgot to mention that Kim is still a murdering dictator.  But no doubt he's hoping that lame quote will ""go down in history."" 
 #Sad #Deluded"	1891274286	politifact7669	0
"Here he goes again with the daily auto-generated tweet:
""[insert name] + [insert insult]""  "	1891274286	politifact7669	0
THREADED TWEET! WH aides are behind this! Sounds like an #aidetweet. Score:-40 Code:mlTs Time:1621	897917110831140864	politifact7669	0
DT, stop. Stop, will you? Stop, Donald. Will you stop DT? Stop, DT. Score:110 Code:mltsssnnn #TFAFFL Time:0411	897917110831140864	politifact7669	0
Gunman in Mercy Hospital shooting fired about 40 shots before dying in shootout with SWAT officer	996076896688459777	politifact13130	0
But there is oil in Iran	216963539	politifact7669	0
Update..On the Scale of Clueless...Our President Is Now Rating ..5 ..yes, FIVE ..Clousseaus!   FIVE!!	2806205512	politifact7669	0
Yes there was, but your conspiracy with the Russians solved that problem. #collusion	40289650	politifact7669	0
Quoting Fox and the Friends again? Why must you watch that silly programming DT? Score:50 Code:mlTsnnn Time:1816	897917110831140864	politifact7669	0
According to the President of the United States of America it is going great big time with news media, because fake news has died, he just heard the other day...	773436290	politifact7669	0
You as re such an epic bore. #TotalCunt	326793024	politifact7669	0
DT, stop. Stop, will you? Stop, Donald. Will you stop DT? Stop, DT. Score:115 Code:mltnnnnnnnn #TFAFFL Time:0431	897917110831140864	politifact7669	0
The Trump team has already said they are stacking the court to make abortion illegal again in the United States.	800404417	politifact7669	0
Harley Trumpies will be delighted about Trumps plan to let the price of their beloved vehicles explode. #SoMuchWinning	3302889947	politifact7669	0
And apparently drives said cart on the greens, because !TRUMP!	22603571	politifact7669	0
Quoting Fox and the Friends again? Why must you watch that silly programming DT? Score:50 Code:mlts Time:0256	897917110831140864	politifact7669	0
#ImmigrantChildren #Immigrants #Refugees #asylum #NielsenMustGo #NielsenResign #DACA #ImpeachTrump #Impeach45	819728862489755648	politifact14984	0
Those people have robbed nations off their sovereignty by taking possession of their treasury plugging them in2 eternal debt and enslavement	745416881792704512	politifact15147	0
Lmao he corrected who he tagged and left the typo	81516670	politifact7669	0
"Victory, blah, blah, blah. We won, blah, blah, blah. magats, blah, blah, blah. Tax returns? Russia investigation?  $ laundering? 
#Pelosi
#Schiff
#Cummings"	742509318667280384	politifact7669	0
We interrupt this #aidetweet to bring you an important announcement: THE CAKE IS A LIE. Score:-70 Code:MLT Time:1241	897917110831140864	politifact7669	0
"""The Donald doth protest too much, methinks."" From Shakespeare's tragic play ""Donald of Orange"""	59636104	politifact7669	0
Stephen Miller (Waffen-SS) wrote this, not the .	14377839	politifact7669	0
I dunno what this one even means. #spent	3260204767	politifact7669	0
"1250 tweet from Trump saying ""Witch Hunt"""	800404417	politifact7669	0
DT, stop. Stop, will you? Stop, Donald. Will you stop DT? Stop, DT. Score:110 Code:mltsssnnn #TFAFFL Time:0601	897917110831140864	politifact7669	0
Thank You for standing for us . #TrumpRising	3603092968	politifact14984	0
But but but McConnell...	52812835	politifact7669	0
#ImmigrantChildren #Immigrants #Refugees #asylum #NielsenMustGo #NielsenResign #DACA #ImpeachTrump #Impeach45	819728862489755648	politifact14984	0
"There is no such thing as ""crisis actors.""
This has never happened.
These children are being traumatized for life. Hearing their cries on the audio that was recorded BROKE MY HEART.
#KeepFamilesTogether"	2727240955	politifact14984	0
Sessions, Trump's worst decision of his life	908828414961893376	politifact348	0
"Giving the 1% and Big Corp (""their"" tax cut's permanent) tax cuts at the cost of Medicare and Social Security for the 99% is reprehensible. 
Asked what happened to the ""frugality and prudence of the GOP,"" Greenspan replied: ""Good question. If you find out let me know.""
#BLUE2018"	2715131158	politifact12079	0
"Trick OR Treat?! This ""seems"" to sound like an #aidetweet. Score:-30 Code:mLT Time:1826"	897917110831140864	politifact7669	0
Dictatorship #resist #wewillprevail #SaveDemocracy	76471168	politifact7669	0
"My guess is that DT is saying something I perceive as ""almost civil"" here, but I know he's just trolling us... Score: 35 Code:mlTnnn Time:1646"	897917110831140864	politifact7669	0
POTUS going poopy at 3pm	385301270	politifact7669	0
Thank you both for working so hard for my home state, I grew up in Great Falls. #VA10 #FlipItBlue	52119780	politifact348	0
"But she averted it by using ""password ....2""!"	928284232509566976	politifact348	0
"This ""probably"" came from him. Had enough? #VoteBlue #BeAVoter Score:45 Code:mltn Time:2251"	897917110831140864	politifact7669	0
146,000 to lose their job because of #TrumpTariffs	800404417	politifact7669	0
Low score, it only just slightly registers as him. Score:15 Code:mlTn Time:1721	897917110831140864	politifact7669	0
DT, stop. Stop, will you? Stop, Donald. Will you stop DT? Stop, DT. Score:115 Code:mltssnnnnn #TFAFFL Time:0526	897917110831140864	politifact7669	0
Many key supreme court justices were appointed or nominated during #VenusRetrograde	1370922858	politifact14984	0
Lumber prices are way way down :(	127154254	politifact14984	0
The stock market is crashing, auto plants are closing, and farmers have unsellable crops in the field. And Mueller is coming for you. #MAGA	23662879	politifact7669	0
25 cases of Febreze to Kansas City,  ASAP.	1849904065	politifact7669	0
Love these tweets, it means we're getting closer to the end. #PresidentPence	48162522	politifact7669	0
#ImmigrantChildren #Immigrants #Refugees #asylum #NielsenMustGo #NielsenResign #DACA #ImpeachTrump #Impeach45	819728862489755648	politifact14984	0
"Trick OR Treat?! This ""seems"" to sound like an #aidetweet. Score:-30 Code:mLT Time:1826"	897917110831140864	politifact7669	0
...that he has never watched	18125967	politifact7669	0
And we hold our breaths & wait for the next one. #MassShooting #TamaraONeal #DaynaLess #SamuelJimenez	20756054	politifact13130	0
He tweets  then each supporter repeats  #ClearAndPresidentDanger #Impeach45	2519463368	politifact7669	0
We interrupt this #aidetweet to bring you an important announcement: THE CAKE IS A LIE. Score:-70 Code:MLT Time:1351	897917110831140864	politifact7669	0
DT, stop. Stop, will you? Stop, Donald. Will you stop DT? Stop, DT. Score:110 Code:mltsnnnnnn #TFAFFL Time:0434	897917110831140864	politifact7669	0
IM GOING TO TARRIF THE WORLD!!!! (please don't reciprocate....) - DJT	391744805	politifact7669	0
"The #GOP has control of the WH, the Senate and the House. 
Repeating a lie doesn't make it true
#ThisIsNotNormal 
#CongressIsComplicit
#FamiliesBelongTogether"	34633116	politifact7669	0
And it lists all the Gandous as well	1020226690897842176	politifact13905	0
Please #VOTE #VoteThemOut #VoteBlue #VoteBlue2018 #VoteBlueToSaveAmericanDemocracy #VoteBlueToSaveAmerica #VoteBlueAndBringAFriend	922165980	politifact348	0
"Sarah Huckabee Sanders is probably going to have to say that DT ""was joking"" and that this ""wasn't discussed"". Score:45 Code:mltn Time:0246"	897917110831140864	politifact7669	0
The negative energy from this DT tweet could raise the dead. Score:75 Code:mltnnnn #TFAFFL Time:0551	897917110831140864	politifact7669	0
"five zero sum
#HuffingtonPost #HEADLINE 
Trump will profit from Indonesian resort project that will get $500 million in Chinese loans in a deal sealed days before before his tweet ordering help for ZTE"	2759116184	politifact7669	0
#IStandWithMaryamRajavi because she has been at the forefront of the fight against the Iranian regime for nearly four decades and STILL goes strong, stronger than ever, both herself and the #NCRI as the best organized opposition group. #IranRegimeChange #FreeIran2018	78280324	politifact348	0
