text	user_id	news_id	cluster
"That's such a cliche'd response.
What about the ginned up policy that put them there?"	799379189191340032	politifact8005	0
Small people trying to get attention	4913492478	politifact341	0
Mitch McConnell blocked Obama from taking action on Russia because it could've stopped him from stealing a SCOTUS seat	824410682	politifact8005	0
"""Forgot""  Really? Didn't forget to give it to the press."	36623349	politifact279	0
""" Don't push yourself is what I say. It will come when it's ready."""	1006798824352944128	politifact11399	0
But 100% of the people want check the rhyme videos back	1013207037721939968	politifact11399	0
"(#Individual1 looks at their pleading faces, then back at his phone, where Twitter is alive with discussion of who will spill their guts next about being directed by #Individual1 to engage in #collusion.)
/3"	3307419476	politifact8005	0
Kamal hassan	945169017886535680	politifact279	0
Straight to the jugular	972656723709214720	politifact401	0
And what about this lil' biscuit??	2157766319	politifact8005	0
"""Fully? Uh... okay."" 

Velvet still had to try! She'd be a pretty cruddy girlfriend if she didn't at least try to do something nice. 

""No, no; I did it last time, so you do it now. I think, at least."""	718874110684741632	politifact11399	0
"MJ  = Tom Brady 
LeBron  = Aaron Rodgers "	1051274414011150336	politifact279	0
Read with pleasure	725056094192701444	politifact1201	0
"Seems a running theme for Trump, ""Me, me, me, and then what am i suppose to be talking about
 here? """	35988712	politifact13058	0
He definitely is.	792761643839197184	politifact15256	0
Ankylosaurus	754878408232988672	politifact285	0
Please do. This man would have been incredible.	859067551707484161	politifact384	0
"This is a terrorist recruiting venue At rally in North Carolina following arrest of pipe bomb suspect, President Trump accuses media of ""constant unfair coverage, deep hostility, and negative attacks."""	797927238939373568	politifact8005	0
I don't believe her as there was no proof and she lied about flying phobias and her door and is now a millionaire	4910904309	politifact279	0
But it was a GOP victory. Ask Sean.	916676820954517504	politifact8005	0
he always gives  every possible outcome then he can claim to be in trend	2220840868	politifact1213	0
Yep~i was angry and laughing at her at same time	746778040206770176	politifact341	0
an interview :)	3066744666	politifact8005	0
And I'd do it again	185770400	politifact11399	0
"I think he got in trouble for shooting off his mouth or trump pulled a ""your fired"""	907036349840183296	politifact8005	0
Alec Baldwin ladies and germs.	444903098	politifact8005	0
